bucket_id,object_path,bytes,mime
business-verification,3ff115b5-57e3-4872-a1d4-117c9e869da5/205f5913-1d2a-44f4-9268-175440ad24a0.pdf,152522,application/pdf
companies,55555555-aaaa-4aaa-8aaa-000000000002/1783106258270-x8a55u-85b97f6a-d2fd-4983-8a60-b61ec914f50d.jpg,539683,image/jpeg
demo-media,destinations/hero_ek_balam.jpg,323389,image/jpeg
demo-media,destinations/hero_izamal.jpg,150773,image/jpeg
demo-media,destinations/hero_las_coloradas.jpg,124120,image/jpeg
demo-media,destinations/hero_rio_lagartos.jpg,215771,image/jpeg
demo-media,destinations/hero_uayma.jpg,240693,image/jpeg
demo-media,destinations/hero_valladolid.jpg,270414,image/jpeg
destinations,11111111-aaaa-4aaa-8aaa-000000000001/1783106483564-edcvzn-img_6663.jpg,643148,image/jpeg
media-derived,1c276d54-7bab-4b36-9b85-5e70d6fe8e01/sharp/sharp@0.35.3/generic/avif/400.avif,12237,image/avif
media-derived,1c276d54-7bab-4b36-9b85-5e70d6fe8e01/sharp/sharp@0.35.3/generic/avif/800.avif,43328,image/avif
media-derived,1c276d54-7bab-4b36-9b85-5e70d6fe8e01/sharp/sharp@0.35.3/generic/jpeg/400.jpg,21890,image/jpeg
media-derived,1c276d54-7bab-4b36-9b85-5e70d6fe8e01/sharp/sharp@0.35.3/generic/jpeg/800.jpg,81773,image/jpeg
media-derived,1c276d54-7bab-4b36-9b85-5e70d6fe8e01/sharp/sharp@0.35.3/generic/webp/400.webp,20680,image/webp
media-derived,1c276d54-7bab-4b36-9b85-5e70d6fe8e01/sharp/sharp@0.35.3/generic/webp/800.webp,76772,image/webp
media-derived,57a401dc-68d3-456f-87ba-f5196070376b/sharp/sharp@0.35.3/generic/avif/1200.avif,50020,image/avif
media-derived,57a401dc-68d3-456f-87ba-f5196070376b/sharp/sharp@0.35.3/generic/avif/400.avif,8487,image/avif
media-derived,57a401dc-68d3-456f-87ba-f5196070376b/sharp/sharp@0.35.3/generic/avif/800.avif,26138,image/avif
media-derived,57a401dc-68d3-456f-87ba-f5196070376b/sharp/sharp@0.35.3/generic/jpeg/1200.jpg,103969,image/jpeg
media-derived,57a401dc-68d3-456f-87ba-f5196070376b/sharp/sharp@0.35.3/generic/jpeg/400.jpg,15643,image/jpeg
media-derived,57a401dc-68d3-456f-87ba-f5196070376b/sharp/sharp@0.35.3/generic/jpeg/800.jpg,51910,image/jpeg
media-derived,57a401dc-68d3-456f-87ba-f5196070376b/sharp/sharp@0.35.3/generic/webp/1200.webp,80614,image/webp
media-derived,57a401dc-68d3-456f-87ba-f5196070376b/sharp/sharp@0.35.3/generic/webp/400.webp,13234,image/webp
media-derived,57a401dc-68d3-456f-87ba-f5196070376b/sharp/sharp@0.35.3/generic/webp/800.webp,42120,image/webp
media-derived,642cb15f-0a13-410c-8027-c4ab92034bf5/sharp/sharp@0.35.3/generic/avif/1200.avif,8603,image/avif
media-derived,642cb15f-0a13-410c-8027-c4ab92034bf5/sharp/sharp@0.35.3/generic/avif/400.avif,3232,image/avif
media-derived,642cb15f-0a13-410c-8027-c4ab92034bf5/sharp/sharp@0.35.3/generic/avif/800.avif,5693,image/avif
media-derived,642cb15f-0a13-410c-8027-c4ab92034bf5/sharp/sharp@0.35.3/generic/jpeg/1200.jpg,37126,image/jpeg
media-derived,642cb15f-0a13-410c-8027-c4ab92034bf5/sharp/sharp@0.35.3/generic/jpeg/400.jpg,8543,image/jpeg
media-derived,642cb15f-0a13-410c-8027-c4ab92034bf5/sharp/sharp@0.35.3/generic/jpeg/800.jpg,25762,image/jpeg
media-derived,642cb15f-0a13-410c-8027-c4ab92034bf5/sharp/sharp@0.35.3/generic/webp/1200.webp,17504,image/webp
media-derived,642cb15f-0a13-410c-8027-c4ab92034bf5/sharp/sharp@0.35.3/generic/webp/400.webp,4266,image/webp
media-derived,642cb15f-0a13-410c-8027-c4ab92034bf5/sharp/sharp@0.35.3/generic/webp/800.webp,10656,image/webp
media-derived,cb8ccb0d-60de-4d37-b178-7802f6d39b24/sharp/sharp@0.35.3/generic/avif/1200.avif,74008,image/avif
media-derived,cb8ccb0d-60de-4d37-b178-7802f6d39b24/sharp/sharp@0.35.3/generic/avif/400.avif,8993,image/avif
media-derived,cb8ccb0d-60de-4d37-b178-7802f6d39b24/sharp/sharp@0.35.3/generic/avif/800.avif,36020,image/avif
media-derived,cb8ccb0d-60de-4d37-b178-7802f6d39b24/sharp/sharp@0.35.3/generic/jpeg/1200.jpg,153098,image/jpeg
media-derived,cb8ccb0d-60de-4d37-b178-7802f6d39b24/sharp/sharp@0.35.3/generic/jpeg/400.jpg,18441,image/jpeg
media-derived,cb8ccb0d-60de-4d37-b178-7802f6d39b24/sharp/sharp@0.35.3/generic/jpeg/800.jpg,71807,image/jpeg
media-derived,cb8ccb0d-60de-4d37-b178-7802f6d39b24/sharp/sharp@0.35.3/generic/webp/1200.webp,114864,image/webp
media-derived,cb8ccb0d-60de-4d37-b178-7802f6d39b24/sharp/sharp@0.35.3/generic/webp/400.webp,14788,image/webp
media-derived,cb8ccb0d-60de-4d37-b178-7802f6d39b24/sharp/sharp@0.35.3/generic/webp/800.webp,59718,image/webp
media-original,pilot-v11/vertical-2400h-1784083179392.jpg,87509,image/jpeg
studio-media,2026/imported-1783037277673-6evkkz-bg01-dv5sczwm.jpg,405604,image/jpeg
studio-media,2026/imported-1783037283528-xv523j-bg02-ddstg3xc.jpg,577687,image/jpeg
